Kage no Jitsuryokusha ni Naritakute! 2nd Season,317
Major: World Series,318
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,319
Tokyo Godfathers,320
Kino no Tabi: The Beautiful World,321
Tanoshii Muumin Ikka,322
Rurouni Kenshin: Meiji Kenkaku Romantan,323
Naruto: Shippuuden,324
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",325
Yofukashi no Uta Season 2,326
Seishun Buta Yarou wa Santa Claus no Yume wo Minai,327
Kaijuu 8-gou,328
Diamond no Ace: Act II,329
Gin no Saji 2nd Season,330
Yuru Camp△,331
Doukyuusei,332
Shirobako,333
Fate/Zero,334
Gintama: Shinyaku Benizakura-hen,335
Koukaku Kidoutai,336
Hotarubi no Mori e,337
Tenki no Ko,338
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,339
Space☆Dandy 2nd Season,340
Dororo,341
Doupo Cangqiong 4th Season,342
Gyakkyou Burai Kaiji: Ultimate Survivor,343
Tsubasa: Tokyo Revelations,344
Tenkuu no Shiro Laputa,345
Dr. Stone,346
Suzume no Tojimari,347
Fanren Xiu Xian Chuan: Xinghai Feichi,348
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,349
Haikyuu!! Movie 4: Concept no Tatakai,350
Trigun,351
Dr. Stone: Science Future Part 2,352
Tengoku Daimakyou,353
Mushoku Tensei II: Isekai Ittara Honki Dasu,354
Berserk: Ougon Jidai-hen III - Kourin,355
Saiki Kusuo no Ψ-nan: Kanketsu-hen,356
Ookami to Koushinryou,357
ReLIFE: Kanketsu-hen,358
Fruits Basket 1st Season,359
Major S3,360
Spy x Family Part 2,361
Kaguya-hime no Monogatari,362
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,363
Wu Liuqi: Jiyi Suipian,364
Yubisaki to Renren,365
Haikyuu!! Movie 3: Sainou to Sense,366
Quanzhi Gaoshou Specials,367
Bungou Stray Dogs 3rd Season,368
Meitantei Conan Movie 13: Shikkoku no Chaser,369
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,370
InuYasha: Kanketsu-hen,371
Kuroko no Basket 2nd Season,372
xxxHOLiC◆Kei,373
Major S1,374
Great Pretender,375
Dragon Ball Z,376
SKET Dance,377
Magi: The Kingdom of Magic,378
Dragon Ball Super: Broly,379
Ao no Hako,380
Girls & Panzer Movie,381
Asobi Asobase,382
Mo Dao Zu Shi Q,383
Stand By Me Doraemon 2,384
Maison Ikkoku,385
Senki Zesshou Symphogear XV,386
Initial D Second Stage,387
Horimiya,388
Vanitas no Karte Part 2,389
Sasaki to Miyano,390
Fate/strange Fake: Whispers of Dawn,391
Chihayafuru,392
K-On!!,393
Fate/stay night: Unlimited Blade Works,394
Made in Abyss Movie 1: Tabidachi no Yoake,395
